game_id,age_rating
115278,25494
120268,25488
105049,25485
113344,25457
19164,25428
19164,25841
1877,6032
115653,24208
96217,25528
96217,25529
26845,24721
55038,25495
22472,9372
22490,23490
55190,25530
114286,25533
114286,25534
26145,25535
26145,25536
27092,25267
27092,25437
56033,22565
55199,23950
18623,8367
67166,20787
67166,20788
28168,23541
28309,22609
24426,23476
24426,23477
3772,25537
3772,25538
18225,25539
18225,25540
19564,26266
19564,26348
55036,14040
28070,23157
28070,23158
115737,24233
115737,24234
25646,13999
113360,23715
105269,22851
105269,22852
37138,12700
54775,23160
54775,23161
47823,25541
47823,25542
80809,20018
80809,20019
116681,24445
26950,24853
1942,9776
1942,11875
13200,15813
20342,10718
20342,10719
660,15371
1020,990
1020,12749
55173,22680
103329,25543
103329,26213
15830,7825
15830,7826
3222,23335
10032,25545
26226,21049
26226,21050
9938,23119
55092,21036
55092,21037
7027,4033
102057,24871
103303,23542
9243,6304
13189,7633
24765,25546
24765,25547
113114,26209
113114,26210
564,6358
564,11487
9278,15035
22469,9369
18011,24717
54842,21056
54842,24268
78550,25548
78550,25549
103301,25187
99118,23126
3700,4422
3700,12789
8773,6280
8773,6281
19561,23943
10297,12208
22470,9370
119177,26292
119177,26293
11646,12043
11646,12044
18869,25550
18869,25551
19560,23747
19560,23748
27725,21775
9727,7579
9727,15986
25076,23550
25076,26094
4755,8637
4755,8638
4755,8639
103292,25260
5647,6477
5647,25967
37016,25552
37016,25553
1006,33
20776,18508
20776,18509
13210,13785
3225,9068
3225,14051
103168,24898
40477,23949
7346,10942
7346,12352
14593,15380
14593,23050
19301,23556
19301,23557
103298,25426
9058,6227
9058,25284
26855,25554
26855,25555
533,59
533,12197
11156,13157
11156,21310
26192,23539
18182,23980
848,8753
2031,6073
2031,12751
28182,24577
28113,12046
28113,13894
5867,4687
5867,6082
11582,10850
9927,16076
9927,23140
19565,23008
19565,23737
22477,22322
1593,6643
1593,11242
87622,22054
19441,13142
3188,11962
3188,11963
121,8470
121,12393
27419,23051
27419,23052
95340,21679
17906,15013
1906,9135
1906,23091
68286,23975
18167,16199
18167,16200
44076,15659
44076,15660
3025,4804
3025,11143
115735,24229
115735,24230
101608,22377
113113,25556
10964,12552
10964,12553
1342,11219
1342,25176
1009,11042
1009,23999
7331,10876
7331,10877
8968,6189
28794,25557
28794,25558
77529,24102
20329,22563
3042,12803
3042,12804
19531,12550
19531,12551
9538,18980
115280,24872
43367,24147
37382,24209
28010,24062
22471,9371
1905,12678
1905,12679
571,11580
1802,8772
1802,8773
41,3891
41,11129
118218,24668
11423,15352
11423,15353
16992,14939
16992,19486
1244,12720
1244,12721
113201,23692
113201,23693
115283,25490
115283,25491
62151,25559
62151,25560
8746,6055
8746,6056
11171,11298
11171,11299
115276,24567
36926,21047
36926,21048
11231,7004
11231,7005
9477,7061
9477,24447
9648,6563
2939,7907
2939,20025
732,1444
732,5369
118871,24762
118871,24763
90099,23929
90099,26026
7350,22214
9498,15329
2040,19580
1887,4990
1887,11069
10239,14135
10239,14136
3155,1222
3155,13032
103328,22498
103328,22499
25921,11260
25921,11261
9730,9481
9730,9482
107614,23580
472,11842
472,11843
9806,9534
28552,12663
10760,24099
14362,8886
14362,22352
7342,19878
7342,25169
733,1342
733,21348
7276,7186
7276,10634
12517,12661
68287,24262
68287,24263
103281,25253
960,161
960,4510
18918,25404
58075,22139
111253,25561
7351,8424
7351,13013
1372,11187
1372,11188
115741,24239
115741,24240
76882,23924
76882,24520
1985,11800
103054,23274
7344,8464
7344,23619
11737,24820
11737,24821
113109,24529
26758,15861
26758,15862
75242,24516
75242,24517
103369,25562
20331,25563
20331,25564
90101,23530
19085,10268
115740,24237
115740,24238
8559,8882
8559,8883
7599,6436
7599,19847
101573,22265
27378,25051
1352,7111
1352,21585
114285,25199
43165,14211
43165,24118
662,5280
662,6489
110503,25566
110503,25567
27316,25565
9834,18566
11668,23930
11668,23931
114795,24085
114795,24585
19541,25568
19541,25569
119507,25414
119507,26018
1121,6517
1121,13301
8744,6051
8744,25242
538,11221
538,11222
501,4944
501,15699
5601,8460
5601,11293
19083,20664
11367,25940
11208,20972
11118,21562
11118,21563
17000,14559
17000,14560
11292,7048
1377,27
1377,11959
471,8875
471,8876
87514,22005
109274,24934
19549,13803
76253,24278
1341,4566
1341,11390
1341,11391
75240,25376
7386,7382
7386,12793
832,1110
832,19910
359,14065
359,14066
11162,10960
11162,20842
2918,6453
2918,6454
241,419
4843,21038
4843,21039
7334,6468
7334,24580
17446,25570
7213,4163
5589,8461
5589,8462
21642,11346
21642,11347
28540,14240
28540,21379
36732,12621
28472,12376
1011,96
1011,12190
119305,25259
22439,13899
22439,13900
7843,25571
7843,25572
5503,11621
5503,11622
11233,13075
11233,13076
74701,26114
16287,23069
16287,23070
7323,9162
7323,11319
233,828
233,11281
19686,23806
19686,24266
16999,22048
115284,24883
587,6376
587,23114
101211,25573
101211,25574
11550,12499
11550,12500
