similar_game_id,game_id
281,115278
54775,115278
55199,115278
81249,115278
96217,115278
1168,115278
13168,115278
1333,115278
16987,115278
119171,115278
22799,120268
87668,120268
87728,120268
8925,120268
9965,120268
1511,120268
111151,120268
113895,120268
117939,120268
118871,120268
5538,105049
76877,105049
78632,105049
96217,105049
1168,105049
13276,105049
13292,105049
13329,105049
15269,105049
16987,105049
236,113344
55984,113344
81249,113344
96217,113344
1168,113344
16987,113344
11336,113344
115653,113344
11653,113344
119171,113344
2695,19164
5538,19164
81249,19164
13298,19164
1331,19164
1549,19164
16987,19164
115278,19164
116681,19164
118218,19164
9243,1877
1776,1877
1829,1877
19249,1877
253,1877
26574,1877
54842,1877
5538,1877
12584,1877
113114,1877
37382,115653
55199,115653
81249,115653
96217,115653
99118,115653
1168,115653
16987,115653
11653,115653
119171,115653
12564,115653
18869,36198
1915,36198
22387,36198
23733,36198
2839,36198
3245,36198
47823,36198
5592,36198
5519,36198
8916,36198
8916,96217
81249,96217
8168,96217
1168,96217
1333,96217
16987,96217
11113,96217
11336,96217
11653,96217
119171,96217
19785,22422
1988,22422
22421,22422
22423,22422
22425,22422
22469,22422
22482,22422
22486,22422
2249,22422
59218,22422
7615,26845
13196,26845
1944,26845
22387,26845
28168,26845
2839,26845
36198,26845
5538,26845
5592,26845
55199,26845
2695,55038
55199,55038
81249,55038
96217,55038
1168,55038
13276,55038
1549,55038
15269,55038
16987,55038
119171,55038
1915,22387
23733,22387
26226,22387
2839,22387
35994,22387
36198,22387
5592,22387
55199,22387
5633,22387
96217,22387
1975,22472
1989,22472
22426,22472
2247,22472
22471,22472
22482,22472
28465,22472
41895,22472
67166,22472
6849,22472
1796,22490
22426,22490
22482,22490
41895,22490
58814,22490
5946,22490
5948,22490
59173,22490
59218,22490
6849,22490
1975,68049
22426,68049
22472,68049
22482,68049
2249,68049
28465,68049
41895,68049
4313,68049
67166,68049
119656,68049
9243,26574
1776,26574
17379,26574
24765,26574
253,26574
25311,26574
26145,26574
2792,26574
35994,26574
8168,26574
1915,55190
2329,55190
2342,55190
24426,55190
26226,55190
287,55190
36198,55190
55173,55190
5633,55190
116681,55190
71,114286
12122,114286
1285,114286
13218,114286
13275,114286
1966,114286
114287,114286
116352,114286
116353,114286
121435,114286
18623,79134
23345,79134
28244,79134
36258,79134
36553,79134
51577,79134
5536,79134
65827,79134
12163,79134
112754,79134
17379,26145
18623,26145
25311,26145
26574,26145
29348,26145
31515,26145
35994,26145
4476,26145
19339,26145
11342,26145
25311,80916
2839,80916
3245,80916
36198,80916
47823,80916
55199,80916
8168,80916
96217,80916
1549,80916
11113,80916
9655,16309
1989,16309
22472,16309
25311,16309
26145,16309
28465,16309
4397,16309
51991,16309
8168,16309
19339,16309
26145,25311
26574,25311
35994,25311
37419,25311
8916,25311
8168,25311
96217,25311
15269,25311
17169,25311
19339,25311
7615,27092
1944,27092
26574,27092
28182,27092
2839,27092
3245,27092
35994,27092
36198,27092
55199,27092
8916,27092
55199,106987
75379,106987
81249,106987
96217,106987
1168,106987
1333,106987
1549,106987
115278,106987
11653,106987
119171,106987
132,17130
17111,17130
17519,17130
18623,17130
2462,17130
25311,17130
29173,17130
31515,17130
34823,17130
5559,17130
29783,111130
37419,111130
81275,111130
87622,111130
96217,111130
13295,111130
15269,111130
11336,111130
113895,111130
115785,111130
27744,38967
28277,38967
28465,38967
31515,38967
37419,38967
44242,38967
51577,38967
55888,38967
65827,38967
19339,38967
11668,114455
13189,114455
182,114455
18225,114455
19817,114455
25311,114455
25646,114455
35994,114455
5633,114455
11113,114455
1811,56033
1915,56033
2342,56033
24426,56033
25646,56033
26226,56033
36198,56033
54678,56033
55173,56033
5519,56033
2839,55199
3245,55199
54775,55199
5538,55199
8916,55199
81249,55199
96217,55199
1168,55199
