game_id,genre
115278,12
120268,10
120268,33
105049,5
105049,12
105049,31
113344,31
19164,5
1877,12
115653,12
115653,31
36198,12
36198,31
36198,32
96217,12
96217,31
96217,32
22422,13
22422,31
26845,12
26845,16
26845,24
26845,31
55038,5
55038,12
55038,31
22387,12
22387,24
22387,31
22387,32
22472,13
22490,31
68049,13
26574,12
26574,13
26574,15
26574,31
26574,32
55190,8
55190,9
55190,31
55190,32
114286,14
79134,13
79134,15
26145,12
26145,13
26145,15
26145,31
26145,32
80916,12
80916,31
80916,32
16309,12
16309,13
16309,32
25311,12
25311,13
25311,15
25311,31
25311,32
27092,12
27092,15
27092,31
106987,12
106987,31
17130,13
17130,15
17130,32
111130,31
111130,32
38967,13
38967,32
114455,15
114455,31
114455,32
56033,8
56033,9
56033,31
56033,32
55199,12
55199,31
55984,31
37419,13
37419,31
37419,32
19785,13
18623,13
18623,15
18623,32
35994,12
35994,13
35994,15
35994,31
35994,32
28465,13
28465,32
9789,11
9789,13
9789,15
9789,32
67166,13
28168,12
28168,31
28309,12
28309,31
28309,32
23733,31
23733,32
110737,32
24426,8
24426,9
24426,31
24426,32
36553,13
36553,15
36553,32
41895,13
41895,31
41895,32
22426,31
19404,12
19404,15
19404,32
3772,10
3772,13
3772,14
3772,32
18225,31
113895,32
19564,5
19564,31
81680,12
81680,13
81680,31
81680,32
23345,13
23345,15
23345,32
55036,13
55036,15
29173,13
29173,15
29173,32
117665,13
28070,8
28070,9
28070,31
28070,32
115737,0
25646,9
25646,31
25646,32
113360,31
113360,32
25222,2
25222,9
25222,31
25222,32
116353,14
55590,13
55590,15
55590,32
105269,5
105269,31
105269,32
109339,12
109339,13
109339,15
109339,31
109339,32
31515,13
31515,15
31515,32
37138,15
26163,12
26163,31
26163,32
54775,12
47823,12
47823,31
47823,32
55029,11
55029,15
80809,32
116681,8
116681,9
116681,31
116681,32
26950,5
26950,31
22425,13
22425,31
14394,12
14394,15
14394,16
14394,24
14394,32
1942,12
1942,31
17379,5
17379,12
17379,13
17379,15
17379,31
17379,32
103232,12
103232,13
103232,15
103232,31
111187,0
44242,13
59218,31
13200,13
13200,15
13200,32
20342,8
20342,9
20342,31
20342,32
660,12
19150,8
19150,12
19150,31
19150,32
1020,5
1020,10
1020,14
1020,31
114287,14
11270,2
11270,31
11270,32
10039,4
10039,5
10039,8
10039,32
55173,8
55173,9
55173,31
55173,32
17548,4
17548,12
17548,13
17548,31
17548,32
29348,12
29348,13
29348,31
29348,32
103329,5
103329,31
17111,13
17111,15
17111,32
81249,12
81249,31
119156,15
15830,13
15830,31
3222,8
3222,12
3222,31
3222,32
102584,12
102584,31
10032,12
10032,31
10032,32
102163,13
102163,15
102163,32
19809,13
10776,12
10776,31
10776,32
26226,8
26226,31
26226,32
119171,12
119171,15
119171,31
9938,12
9938,15
9938,24
9938,31
46745,0
55092,12
55092,31
7027,11
7027,12
7027,15
13196,12
13196,15
13196,16
13196,24
8422,5
8422,12
8422,13
8422,15
8422,24
2365,12
2365,15
2365,16
2365,24
2365,32
33153,12
33153,13
33153,15
33153,32
102057,15
102057,16
102057,24
103303,12
28751,5
9243,12
9243,13
9243,31
9243,32
7615,12
7615,15
7615,16
13189,2
13189,31
13189,32
106992,9
106992,31
106992,32
24765,12
24765,13
24765,15
24765,31
24765,32
36258,13
36258,15
36346,13
36346,15
78511,10
65827,13
65827,15
65827,32
113114,5
113114,12
564,5
564,24
9278,12
9278,15
9278,16
9278,32
22469,13
18011,2
18011,9
18011,31
18011,32
54842,12
54842,31
78550,11
78550,13
78550,15
78550,32
19808,13
107318,5
107318,13
107318,31
103301,5
99118,12
22423,13
22423,31
51945,13
51945,15
51945,31
51945,32
34155,12
34155,31
3700,11
3700,13
3700,15
8773,11
8773,13
8773,15
8773,31
19561,5
19561,31
105011,10
105011,13
105011,31
105011,32
10297,12
10297,15
10297,32
22470,13
34823,13
34823,15
34823,32
119177,5
119656,13
19817,31
19817,32
27266,9
27266,31
27266,32
11646,5
11646,12
11646,32
18869,31
18869,32
19560,12
19560,31
27725,2
27725,9
27725,31
10388,12
10388,15
10388,16
10388,31
10388,32
75900,31
9727,31
9727,32
22486,8
22486,9
22486,13
55689,13
55689,15
55689,32
30245,12
30245,31
30245,32
25076,5
25076,12
25076,31
4755,4
4755,25
4755,31
35371,13
35371,15
35371,31
35371,32
103292,5
103292,31
5647,5
51577,13
51577,15
51577,32
28277,13
28277,31
28277,32
11169,12
11169,31
119422,14
76263,5
76263,13
76263,32
26223,9
26223,31
26223,32
12328,31
37016,5
37016,31
57372,12
1006,5
59427,12
20776,11
20776,13
20776,15
20776,31
89597,8
89597,31
89597,32
30229,11
30229,15
25300,12
25300,31
25300,32
31480,11
31480,13
31480,15
31480,32
15536,5
15536,12
15536,13
15536,24
13210,12
13210,31
54678,9
54678,31
54678,32
3225,5
3225,12
3225,13
3225,31
3225,32
103168,12
103168,25
40477,13
40477,15
40477,16
40477,32
7346,12
7346,31
24620,13
24620,15
26563,13
14593,8
14593,25
14593,31
14593,32
19301,12
19301,13
19301,15
19301,31
19301,32
103298,5
9058,11
9058,15
9058,32
85740,0
17519,13
17519,15
17519,32
26855,8
26855,31
26855,32
533,5
533,31
116530,12
116530,31
106805,5
11156,5
11156,12
26192,5
26192,31
18182,8
18182,12
18182,31
18182,32
43130,13
43130,31
848,11
848,15
848,26
36269,13
36269,15
36269,32
236,2
236,9
236,31
2031,5
2031,31
28182,12
28182,15
28182,16
28182,32
28113,32
5867,12
11666,11
11666,13
11666,15
11666,32
11582,13
11582,15
27301,31
27301,32
9927,8
9927,12
9927,31
77745,0
19565,25
19565,31
119207,10
119207,32
22477,9
1593,12
1593,15
1593,31
1593,32
23651,12
87622,31
113402,12
113402,15
113402,31
113402,32
19441,5
19441,10
19441,31
3188,9
3188,12
3188,31
121,13
121,15
121,31
121,32
121,33
27419,4
27419,32
27419,33
95340,5
95340,15
17906,13
17906,31
74368,12
74368,16
1906,2
1906,31
1906,32
19075,13
19075,34
68286,5
18167,9
18167,15
18167,31
18167,32
44076,12
44076,13
44076,15
44076,25
44076,31
3025,12
3025,31
115735,32
78389,9
55282,31
55282,32
101608,12
101608,31
13660,15
13660,32
113113,10
10964,5
1342,31
1009,5
1009,31
87507,9
117717,13
117717,15
49414,12
